"","HC","coef","criterion","test","value"
"432","HC0","x1","size","saddle_V1",0.178680442174687
"433","HC0","x2","size","saddle_V1",0.399987917332215
"434","HC0","x3","size","saddle_V1",0.4277669563875
"435","HC0","x4","size","saddle_V1",0.651044541844756
"436","HC0","x0","power","saddle_V1",0.0334862224195374
"437","HC0","x1","power","saddle_V1",0.357802239977949
"438","HC0","x2","power","saddle_V1",0.00601826294231224
"439","HC0","x3","power","saddle_V1",0.0532496911269754
"440","HC0","x4","power","saddle_V1",0.651044541844756
"441","HC0","x0","size","saddle_V1",0.183733263662352
"442","HC0","x1","size","saddle_V1",0.157841362265419
"443","HC0","x2","size","saddle_V1",0.194526624239036
"444","HC0","x3","size","saddle_V1",0.0960111722183785
"445","HC0","x4","size","saddle_V1",0.173940682560876
"446","HC0","x0","power","saddle_V1",0.120109892529781
"447","HC0","x1","power","saddle_V1",0.250296198505763
"448","HC0","x2","power","saddle_V1",0.0183927132816093
"449","HC0","x3","power","saddle_V1",0.00104026726451168
"450","HC0","x4","power","saddle_V1",0.173940682560876
"451","HC0","x0","size","saddle_V1",0.134433175970181
"452","HC0","x1","size","saddle_V1",0.0981613730420086
"453","HC0","x2","size","saddle_V1",0.126506489281488
"454","HC0","x3","size","saddle_V1",0.472549256393973
"455","HC0","x4","size","saddle_V1",0.260462037108182
"456","HC0","x0","power","saddle_V1",0.233058078721987
"457","HC0","x1","power","saddle_V1",0.050977199404798
"458","HC0","x2","power","saddle_V1",0.980546316572855
"459","HC0","x3","power","saddle_V1",0.0237468998887117
"460","HC0","x4","power","saddle_V1",0.260462037108182
"461","HC0","x0","size","saddle_V1",0.551583786559734
"462","HC0","x1","size","saddle_V1",0.355924086556261
"463","HC0","x2","size","saddle_V1",0.948146545023655
"464","HC0","x3","size","saddle_V1",0.122492874979514
"465","HC0","x4","size","saddle_V1",0.52543244417531
"466","HC0","x0","power","saddle_V1",0.712353097121529
"467","HC0","x1","power","saddle_V1",0.235985263145291
"468","HC0","x2","power","saddle_V1",0.189230264925607
"469","HC0","x3","power","saddle_V1",0.944954254328948
"470","HC0","x4","power","saddle_V1",0.52543244417531
"471","HC0","x0","size","saddle_V1",0.217778878719809
"472","HC0","x1","size","saddle_V1",0.279287218475375
"473","HC0","x2","size","saddle_V1",0.377608923404124
"474","HC0","x3","size","saddle_V1",0.0627413235537337
"475","HC0","x4","size","saddle_V1",0.161050543716334
"476","HC0","x0","power","saddle_V1",0.138683032317036
"477","HC0","x1","power","saddle_V1",0.437891278326036
"478","HC0","x2","power","saddle_V1",0.0277013721069672
"479","HC0","x3","power","saddle_V1",0.00263595969510606
"480","HC0","x4","power","saddle_V1",0.161050543716334
"481","HC0","x0","size","saddle_V1",0.709227823247022
"482","HC0","x1","size","saddle_V1",0.560630662730405
"483","HC0","x2","size","saddle_V1",0.983706369544323
"484","HC0","x3","size","saddle_V1",0.661059020887256
"485","HC0","x4","size","saddle_V1",0.445016317532902
"486","HC0","x0","power","saddle_V1",0.963392369510214
