"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"136",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x2","size","naive",0.005,0.033,0.064,0
"137",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x2","size","saddle_V1",0,0.019,0.049,0
"138",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x2","size","saddle_V2",0,0.013,0.033,0
"139",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x3","power","naive",0.037,0.096,0.148,0
"140",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x3","power","saddle_V1",0.009,0.04,0.083,0
"141",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x3","power","saddle_V2",0.01,0.031,0.071,0
"142",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x3","size","naive",0.017,0.043,0.092,0
"143",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x3","size","saddle_V1",0.003,0.016,0.038,0
"144",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x3","size","saddle_V2",0.004,0.014,0.029,0
"145",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x4","power","naive",0.012,0.035,0.073,0
"146",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x4","power","saddle_V1",0.004,0.022,0.055,0
"147",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x4","power","saddle_V2",0.003,0.018,0.036,0
"148",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x4","size","naive",0.012,0.035,0.073,0
"149",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x4","size","saddle_V1",0.004,0.022,0.055,0
"150",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4","x4","size","saddle_V2",0.003,0.018,0.036,0
"151",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x0","power","naive",0.006,0.026,0.06,0
"152",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x0","power","saddle_V1",0.001,0.013,0.045,0
"153",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x0","power","saddle_V2",0,0.01,0.031,0
"154",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x0","size","naive",0.004,0.024,0.055,0
"155",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x0","size","saddle_V1",0.001,0.009,0.039,0
"156",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x0","size","saddle_V2",0.001,0.007,0.025,0
"157",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x1","power","naive",0.006,0.029,0.066,0
"158",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x1","power","saddle_V1",0.002,0.015,0.04,0
"159",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x1","power","saddle_V2",0.001,0.011,0.024,0
"160",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x1","size","naive",0.005,0.027,0.057,0
"161",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x1","size","saddle_V1",0,0.013,0.033,0
"162",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x1","size","saddle_V2",0.001,0.011,0.024,0
"163",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x2","power","naive",0.018,0.073,0.159,0
"164",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x2","power","saddle_V1",0.004,0.047,0.107,0
"165",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x2","power","saddle_V2",0.003,0.033,0.072,0
"166",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x2","size","naive",0.001,0.021,0.052,0
"167",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x2","size","saddle_V1",0,0.011,0.033,0
"168",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x2","size","saddle_V2",0,0.008,0.026,0
"169",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x3","power","naive",0.034,0.094,0.143,0
"170",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x3","power","saddle_V1",0.008,0.039,0.083,0
"171",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x3","power","saddle_V2",0.007,0.029,0.068,0
"172",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x3","size","naive",0.016,0.048,0.088,0
"173",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x3","size","saddle_V1",0.004,0.012,0.031,0
"174",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x3","size","saddle_V2",0.004,0.012,0.029,0
"175",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x4","power","naive",0.007,0.026,0.059,0
"176",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x4","power","saddle_V1",0.003,0.016,0.041,0
"177",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x4","power","saddle_V2",0.002,0.011,0.031,0
"178",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x4","size","naive",0.007,0.026,0.059,0
"179",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x4","size","saddle_V1",0.003,0.016,0.041,0
"180",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC4m","x4","size","saddle_V2",0.002,0.011,0.031,0
"181",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC5","x0","power","naive",0.015,0.075,0.145,0
"182",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC5","x0","power","saddle_V1",0.01,0.051,0.108,0
"183",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC5","x0","power","saddle_V2",0.006,0.034,0.084,0
"184",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC5","x0","size","naive",0.013,0.065,0.121,0
"185",25,"1 1 1 1 0 0","T T T T T F","E4","En","naive saddle",1000,989420947,"HC5","x0","size","saddle_V1",0.005,0.041,0.1,0
