"","X","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"4014",4014,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x3","size","saddle_V2",0.008,0.052,0.104,0
"4015",4015,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x4","power","naive",0.013,0.057,0.113,0
"4016",4016,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x4","power","saddle_V1",0.011,0.056,0.112,0
"4017",4017,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x4","power","saddle_V2",0.007,0.053,0.107,0
"4018",4018,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x4","size","naive",0.013,0.057,0.113,0
"4019",4019,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x4","size","saddle_V1",0.011,0.056,0.112,0
"4020",4020,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC0","x4","size","saddle_V2",0.007,0.053,0.107,0
"4021",4021,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x0","power","naive",0.054,0.15,0.252,0
"4022",4022,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x0","power","saddle_V1",0.052,0.142,0.251,0
"4023",4023,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x0","power","saddle_V2",0.046,0.131,0.234,0
"4024",4024,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x0","size","naive",0.011,0.056,0.092,0
"4025",4025,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x0","size","saddle_V1",0.01,0.054,0.092,0
"4026",4026,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x0","size","saddle_V2",0.007,0.046,0.09,0
"4027",4027,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x1","power","naive",0.04,0.132,0.204,0
"4028",4028,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x1","power","saddle_V1",0.038,0.129,0.2,0
"4029",4029,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x1","power","saddle_V2",0.034,0.118,0.192,0
"4030",4030,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x1","size","naive",0.012,0.048,0.105,0
"4031",4031,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x1","size","saddle_V1",0.008,0.046,0.105,0
"4032",4032,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x1","size","saddle_V2",0.008,0.039,0.092,0
"4033",4033,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x2","power","naive",0.933,0.987,0.996,0
"4034",4034,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x2","power","saddle_V1",0.929,0.987,0.996,0
"4035",4035,500,"1 1 1 1 0 0","T T T T T F","E3","En","naive saddle",1000,646721793,"HC1","x2","power","saddle_V2",0.911,0.984,0.995,0
