"","g","n","B","whichX","alpha_string","power","zg","iterations","seed","HC","coef","criterion","test","percent_NA","p.005","p.010","p.050","p.100"
"152",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","Rp_H",0,0,0,0,0.2
"153",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","saddle_E",0,0,0,0.1,0.2
"154",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","saddle_H",0,0,0,0.1,0.2
"155",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","Satt_E",0,0,0,0.1,0.2
"156",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC3","x4","size","Satt_H",0,0,0,0.1,0.2
"157",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC4","x4","size","KCCI_E",0,0,0,0.1,0.1
"158",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC4","x4","size","KCCI_H",0,0,0,0.1,0.1
"159",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC4","x4","size","KCp_E",0,0,0,0.1,0.1
"160",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC4","x4","size","KCp_H",0,0,0,0.1,0.1
"161",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC4","x4","size","naive",0,0,0,0.1,0.2
"162",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC4","x4","size","RCI_E",0,0.1,0.1,0.2,0.2
"163",0.2,1000,"1 1 1 1 0","F F F F T",".005 .010 .050 .100",FALSE,0.712298156364061,10,148578817,"HC4","x4","size","RCI_H",0,0,0,0,0.1
