"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"9781",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x2","size","naive",0,0,0
"9782",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x2","size","Satt",0,0,0
"9783",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x2","size","saddle_V1",0,0,0
"9784",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x2","size","saddle_V2",0,0,0
"9785",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x3","power","naive",1,1,1
"9786",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x3","power","Satt",1,1,1
"9787",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x3","power","saddle_V1",1,1,1
"9788",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x3","power","saddle_V2",1,1,1
"9789",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x3","size","naive",0,0,0
"9790",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x3","size","Satt",0,0,0
"9791",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x3","size","saddle_V1",0,0,0
"9792",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x3","size","saddle_V2",0,0,0
"9793",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x4","power","naive",0,0,0
"9794",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x4","power","Satt",0,0,0
"9795",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x4","power","saddle_V1",0,0,0
"9796",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x4","power","saddle_V2",0,0,0
"9797",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x4","size","naive",0,0,0
"9798",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x4","size","Satt",0,0,0
"9799",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x4","size","saddle_V1",0,0,0
"9800",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC2","x4","size","saddle_V2",0,0,0
"9801",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x0","power","naive",0,0,0
"9802",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x0","power","Satt",0,0,0
"9803",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x0","power","saddle_V1",0,0,0
"9804",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x0","power","saddle_V2",0,0,0
"9805",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x0","size","naive",0,0,0
"9806",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x0","size","Satt",0,0,0
"9807",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x0","size","saddle_V1",0,0,0
"9808",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x0","size","saddle_V2",0,0,0
"9809",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x1","power","naive",0,0,0
"9810",250,"1 1 1 1 0 0","T T T T T F","E6","Ech","naive Satt saddle",1,726390489,"HC4","x1","power","Satt",0,0,0
