"","n","mdl","xDist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10","percentNA"
"199",25,1,"lap","naive edgeKC",10000,928098498,"HC2","x1","size","naive",0.0264,0.0802,0.133,0
"200",25,1,"lap","naive edgeKC",10000,928098498,"HC2","x1","size","edgeKC",0.0142,0.0484,0.0902,0
"201",25,1,"lap","naive edgeKC",10000,928098498,"HC3","x0","power","naive",0.0082,0.0455,0.0924,0
"202",25,1,"lap","naive edgeKC",10000,928098498,"HC3","x0","power","edgeKC",0.0083,0.0446,0.0909,0
"203",25,1,"lap","naive edgeKC",10000,928098498,"HC3","x0","size","naive",0.0082,0.0455,0.0924,0
"204",25,1,"lap","naive edgeKC",10000,928098498,"HC3","x0","size","edgeKC",0.0083,0.0446,0.0909,0
"205",25,1,"lap","naive edgeKC",10000,928098498,"HC3","x1","power","naive",1,1,1,0
"206",25,1,"lap","naive edgeKC",10000,928098498,"HC3","x1","power","edgeKC",1,1,1,0
"207",25,1,"lap","naive edgeKC",10000,928098498,"HC3","x1","size","naive",0.0162,0.0583,0.1022,0
"208",25,1,"lap","naive edgeKC",10000,928098498,"HC3","x1","size","edgeKC",0.0088,0.0333,0.0683,0
"209",40,1,"lap","naive edgeKC",10000,1022515062,"HC2","x0","power","naive",0.0094,0.0494,0.1023,0
"210",40,1,"lap","naive edgeKC",10000,1022515062,"HC2","x0","power","edgeKC",0.0093,0.0484,0.1016,0
"211",40,1,"lap","naive edgeKC",10000,1022515062,"HC2","x0","size","naive",0.0094,0.0494,0.1023,0
"212",40,1,"lap","naive edgeKC",10000,1022515062,"HC2","x0","size","edgeKC",0.0093,0.0484,0.1016,0
"213",40,1,"lap","naive edgeKC",10000,1022515062,"HC2","x1","power","naive",1,1,1,0
"214",40,1,"lap","naive edgeKC",10000,1022515062,"HC2","x1","power","edgeKC",1,1,1,0
"215",40,1,"lap","naive edgeKC",10000,1022515062,"HC2","x1","size","naive",0.0207,0.0671,0.1181,0
"216",40,1,"lap","naive edgeKC",10000,1022515062,"HC2","x1","size","edgeKC",0.0108,0.0447,0.0872,0
"217",40,1,"lap","naive edgeKC",10000,1022515062,"HC3","x0","power","naive",0.0079,0.0432,0.0938,0
"218",40,1,"lap","naive edgeKC",10000,1022515062,"HC3","x0","power","edgeKC",0.0078,0.0428,0.0933,0
"219",40,1,"lap","naive edgeKC",10000,1022515062,"HC3","x0","size","naive",0.0079,0.0432,0.0938,0
"220",40,1,"lap","naive edgeKC",10000,1022515062,"HC3","x0","size","edgeKC",0.0078,0.0428,0.0933,0
"221",40,1,"lap","naive edgeKC",10000,1022515062,"HC3","x1","power","naive",1,1,1,0
"222",40,1,"lap","naive edgeKC",10000,1022515062,"HC3","x1","power","edgeKC",1,1,1,0
"223",40,1,"lap","naive edgeKC",10000,1022515062,"HC3","x1","size","naive",0.0148,0.053,0.0962,0
"224",40,1,"lap","naive edgeKC",10000,1022515062,"HC3","x1","size","edgeKC",0.008,0.035,0.0703,0
"225",25,2,"lap","naive edgeKC",10000,875894237,"HC2","x0","power","naive",0.0112,0.0537,0.1023,0
"226",25,2,"lap","naive edgeKC",10000,875894237,"HC2","x0","power","edgeKC",0.0117,0.0524,0.101,0
"227",25,2,"lap","naive edgeKC",10000,875894237,"HC2","x0","size","naive",0.0112,0.0537,0.1023,0
"228",25,2,"lap","naive edgeKC",10000,875894237,"HC2","x0","size","edgeKC",0.0117,0.0524,0.101,0
"229",25,2,"lap","naive edgeKC",10000,875894237,"HC2","x1","power","naive",0.8553,0.9179,0.9385,0
"230",25,2,"lap","naive edgeKC",10000,875894237,"HC2","x1","power","edgeKC",0.8176,0.8913,0.9203,0
"231",25,2,"lap","naive edgeKC",10000,875894237,"HC2","x1","size","naive",0.024,0.0774,0.1426,0
"232",25,2,"lap","naive edgeKC",10000,875894237,"HC2","x1","size","edgeKC",0.0144,0.0477,0.0918,0
"233",25,2,"lap","naive edgeKC",10000,875894237,"HC3","x0","power","naive",0.0073,0.0401,0.0836,0
"234",25,2,"lap","naive edgeKC",10000,875894237,"HC3","x0","power","edgeKC",0.008,0.0393,0.0815,0
"235",25,2,"lap","naive edgeKC",10000,875894237,"HC3","x0","size","naive",0.0073,0.0401,0.0836,0
"236",25,2,"lap","naive edgeKC",10000,875894237,"HC3","x0","size","edgeKC",0.008,0.0393,0.0815,0
"237",25,2,"lap","naive edgeKC",10000,875894237,"HC3","x1","power","naive",0.8023,0.8824,0.9136,0
"238",25,2,"lap","naive edgeKC",10000,875894237,"HC3","x1","power","edgeKC",0.7621,0.8457,0.8855,0
"239",25,2,"lap","naive edgeKC",10000,875894237,"HC3","x1","size","naive",0.0142,0.0499,0.0914,0
"240",25,2,"lap","naive edgeKC",10000,875894237,"HC3","x1","size","edgeKC",0.0086,0.03,0.0619,0
"241",40,2,"lap","naive edgeKC",10000,615618759,"HC2","x0","power","naive",0.0119,0.0528,0.1035,0
"242",40,2,"lap","naive edgeKC",10000,615618759,"HC2","x0","power","edgeKC",0.012,0.0524,0.1022,0
