"","n","B","whichX","Estruct","Edist","tests","iterations","seed","HC","coef","criterion","test","p01","p05","p10"
"182",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x2","size","Satt",0,0,0
"183",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x2","size","saddle_V1",0,0,0
"184",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x2","size","saddle_V2",0,0,0
"185",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x3","power","naive",1,1,1
"186",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x3","power","Satt",1,1,1
"187",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x3","power","saddle_V1",1,1,1
"188",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x3","power","saddle_V2",1,1,1
"189",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x3","size","naive",0,0,0
"190",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x3","size","Satt",0,0,0
"191",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x3","size","saddle_V1",0,0,0
"192",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x3","size","saddle_V2",0,0,0
"193",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x4","power","naive",0,0,0
"194",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x4","power","Satt",0,0,0
"195",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x4","power","saddle_V1",0,0,0
"196",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x4","power","saddle_V2",0,0,0
"197",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x4","size","naive",0,0,0
"198",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x4","size","Satt",0,0,0
"199",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x4","size","saddle_V1",0,0,0
"200",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC1","x4","size","saddle_V2",0,0,0
"201",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC3","x0","power","naive",0,1,1
"202",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC3","x0","power","Satt",0,0,1
"203",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC3","x0","power","saddle_V1",0,0,1
"204",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC3","x0","power","saddle_V2",0,0,1
"205",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC3","x0","size","naive",0,0,0
"206",50,"1 1 1 1 0 0","T T T T T F","E0","En","naive Satt saddle",1,899087467,"HC3","x0","size","Satt",0,0,0
